Timestamp,Who are you?,"Select Your Team (33 Points, Max of 5 drivers)"
10/5/2016 20:49,Brian,"Fernando Alonso (8), Lewis Hamilton (8), Kimi Räikkönen (7), Sebastian Vettel (7), Jenson Button (3)"
10/7/2016 10:32,Chris,"Lewis Hamilton (8), Kimi Räikkönen (7), Sebastian Vettel (7), Max Verstappen (6), Nico Hülkenberg (5)"
10/7/2016 15:01,John,"Nico Hülkenberg (5), Jenson Button (3), Carlos Sainz Jr. (2), Kevin Magnussen (2), Romain Grosjean (2)"
10/8/2016 3:24,Mike,"Lewis Hamilton (8), Kimi Räikkönen (7), Sebastian Vettel (7), Max Verstappen (6), Nico Hülkenberg (5)"
10/21/2016 12:05,Jason,"Nico Rosberg (10), Kimi Räikkönen (7), Sebastian Vettel (7), Valtteri Bottas (6)"
