Timestamp,Who are you?,"Select Your Team (33 Points, Max of 5 drivers)"
9/16/2016 10:35,John,"Lewis Hamilton (10), Nico Rosberg (9), Max Verstappen (6), Sergio Pérez (5), Jenson Button (3)"
9/16/2016 11:39,Chris,"Nico Rosberg (9), Sebastian Vettel (8), Kimi Räikkönen (7), Max Verstappen (6), Carlos Sainz Jr. (3)"
9/17/2016 7:59,Mike,"Nico Rosberg (9), Sebastian Vettel (8), Max Verstappen (6), Sergio Pérez (5), Valtteri Bottas (5)"
9/30/2016 13:20,Brian,"Lewis Hamilton (10), Sebastian Vettel (8), Kimi Räikkönen (7), Fernando Alonso (6)"
9/30/2016 13:21,Jason,"Nico Rosberg (9), Sebastian Vettel (8), Kimi Räikkönen (7), Nico Hülkenberg (6)"
