Timestamp,Who are you?,"Select Your Team (33 Points, Max of 5 drivers)"
6/16/2016 15:56,John,"Lewis Hamilton (9), Sebastian Vettel (7), Nico Rosberg (6), Kimi Räikkönen (6), Max Verstappen (5)"
6/17/2016 11:21,Chris,"Lewis Hamilton (9), Valtteri Bottas (7), Nico Rosberg (6), Sergio Pérez (6), Nico Hülkenberg (3)"
6/18/2016 7:59,Mike,"Sebastian Vettel (7), Valtteri Bottas (7), Nico Rosberg (6), Daniel Ricciardo (6), Sergio Pérez (6)"
6/18/2016 10:13,Jason,"Lewis Hamilton (9), Sebastian Vettel (7), Nico Rosberg (6), Kimi Räikkönen (6), Max Verstappen (5)"
6/18/2016 10:14,Brian,"Lewis Hamilton (9), Sebastian Vettel (7), Daniel Ricciardo (6), Kimi Räikkönen (6), Jenson Button (3)"
