Timestamp,Who are you?,"Select Your Team (33 Points, Max of 5 drivers)"
5/13/2016 10:57,Chris,"Lewis Hamilton (10), Nico Rosberg (10), Kimi Räikkönen (6), Sebastian Vettel (5), Jenson Button (2)"
5/13/2016 13:28,Jason,"Nico Rosberg (10), Kimi Räikkönen (6), Max Verstappen (5), Sebastian Vettel (5), Valtteri Bottas (5)"
5/13/2016 13:34,John,"Lewis Hamilton (10), Nico Rosberg (10), Kimi Räikkönen (6), Sebastian Vettel (5), Jenson Button (2)"
5/14/2016 6:58,Mike,"Lewis Hamilton (10), Nico Rosberg (10), Max Verstappen (5), Sebastian Vettel (5), Sergio Pérez (3)"
5/14/2016 10:55,Brian,"Lewis Hamilton (10), Daniel Ricciardo (7), Kimi Räikkönen (6), Sebastian Vettel (5), Jenson Button (2)"
