Timestamp,Who are you?,"Select Your Team (33 Points, Max of 5 drivers)"
10/28/2016 10:50,John,"Nico Rosberg (9), Lewis Hamilton (7), Max Verstappen (6), Sergio Pérez (6), Carlos Sainz Jr. (4)"
10/29/2016 11:22,Jason,"Sebastian Vettel (8), Lewis Hamilton (7), Kimi Räikkönen (6), Max Verstappen (6), Sergio Pérez (6)"
10/29/2016 11:22,Chris,"Nico Rosberg (9), Sebastian Vettel (8), Lewis Hamilton (7), Kimi Räikkönen (6), Nico Hülkenberg (3)"
10/29/2016 11:31,Brian,"Sebastian Vettel (8), Fernando Alonso (7), Lewis Hamilton (7), Kimi Räikkönen (6), Jenson Button (4)"
10/29/2016 12:59,Mike,"Sebastian Vettel (8), Lewis Hamilton (7), Kimi Räikkönen (6), Max Verstappen (6), Sergio Pérez (6)"
