Timestamp,Who are you?,"Select Your Team (33 Points, Max of 5 drivers)"
3/26/2016 21:06,Brian,"Felipe Massa (8), Valtteri Bottas (7), Kimi Räikkönen (6), Romain Grosjean (4), Marcus Ericsson (2)"
3/26/2016 21:06,Chris,"Sebastian Vettel (10), Nico Rosberg (10), Daniel Ricciardo (7), Kimi Räikkönen (6)"
3/26/2016 21:07,Jason,"Lewis Hamilton (10), Nico Rosberg (10), Felipe Massa (8), Nico Hülkenberg (4)"
3/26/2016 21:08,John,"Lewis Hamilton (10), Nico Rosberg (10), Kimi Räikkönen (6), Romain Grosjean (4)"
3/26/2016 21:09,Mike,"Nico Rosberg (10), Felipe Massa (8), Valtteri Bottas (7), Daniil Kvyat (5), Nico Hülkenberg (4)"
