Timestamp,Who are you?,"Select Your Team (33 Points, Max of 5 drivers)"
3/26/2016 20:19,Brian,"Kimi Räikkönen (9), Felipe Massa (7), Valtteri Bottas (7), Romain Grosjean (5), Marcus Ericsson (4)"
3/26/2016 20:21,Chris,"Lewis Hamilton (11), Kimi Räikkönen (9), Valtteri Bottas (7), Romain Grosjean (5), Will Stevens (1)"
3/26/2016 20:21,Jason,"Sebastian Vettel (9), Valtteri Bottas (7), Daniel Ricciardo (6), Romain Grosjean (5), Carlos Sainz Jr. (5)"
3/26/2016 20:22,John,"Lewis Hamilton (11), Nico Rosberg (9), Valtteri Bottas (7), Romain Grosjean (5), Jenson Button (1)"
3/26/2016 20:22,Mike,"Nico Rosberg (9), Felipe Massa (7), Valtteri Bottas (7), Romain Grosjean (5), Daniil Kvyat (4)"
