Timestamp,Who are you?,"Select Your Team (33 Points, Max of 5 drivers)"
3/26/2016 21:29,Brian,"Felipe Massa (7), Kimi Räikkönen (6), Valtteri Bottas (6), Romain Grosjean (5), Marcus Ericsson (5)"
3/26/2016 21:30,Chris,"Daniil Kvyat (9), Sebastian Vettel (8), Kimi Räikkönen (6), Valtteri Bottas (6), Daniel Ricciardo (5)"
3/26/2016 21:30,Jason,"Lewis Hamilton (9), Daniil Kvyat (9), Sebastian Vettel (8), Daniel Ricciardo (5), Alexander Rossi (1)"
3/26/2016 21:31,John,"Lewis Hamilton (9), Nico Rosberg (6), Kimi Räikkönen (6), Sergio Pérez (5), Romain Grosjean (5)"
3/26/2016 21:31,Mike,"Daniil Kvyat (9), Nico Rosberg (6), Kimi Räikkönen (6), Valtteri Bottas (6), Daniel Ricciardo (5)"
