Timestamp,Who are you?,"Select Your Team (33 Points, Max of 5 drivers)"
3/26/2016 21:53,Brian,"Felipe Massa (7), Kimi Räikkönen (7), Valtteri Bottas (7), Romain Grosjean (3), Marcus Ericsson (3)"
3/26/2016 21:54,Chris,"Sebastian Vettel (10), Kimi Räikkönen (7), Daniil Kvyat (7), Daniel Ricciardo (6), Romain Grosjean (3)"
3/26/2016 21:54,Jason,"Sebastian Vettel (10), Lewis Hamilton (8), Daniil Kvyat (7), Sergio Pérez (7), Pastor Maldonado (5)"
3/26/2016 21:55,John,"Sebastian Vettel (10), Lewis Hamilton (8), Valtteri Bottas (7), Nico Hülkenberg (5), Carlos Sainz Jr. (3)"
3/26/2016 21:55,Mike,"Sebastian Vettel (10), Kimi Räikkönen (7), Valtteri Bottas (7), Sergio Pérez (7), Daniel Ricciardo (6)"
